Genero;Idoso;Casado;Dependentes;Tempo_como_Cliente;Servico_Celular;Servico_Internet;Servico_Seguranca;Suporte_Tecnico;Servico_TV;Tipo_Contrato;Metodo_Pagamento;Pagamento_Mensal;Total_Pago;Churn
F;False;False;False;46;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;3548.3;False
M;False;False;False;34;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;3549.25;True
F;False;False;False;11;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1105.4;True
M;False;True;True;10;True;DSL;False;False;False;ONE YEAR;MAILED CHECK;65.60756321839081;475.7;False
F;False;True;True;70;True;DSL;True;False;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4872.35;False
F;False;True;True;17;True;NO;True;True;True;ONE YEAR;MAILED CHECK;65.60756321839081;418.25;False
F;False;False;False;63;True;DSL;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4861.45;False
F;False;True;False;13;True;DSL;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;981.45;False
F;False;False;False;49;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;3906.7;False
M;False;False;False;2;True;DSL;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;97.0;False
F;False;False;False;2;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;144.15;True
M;False;False;False;52;True;DSL;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4217.8;False
F;False;True;True;69;True;DSL;True;True;False;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4254.1;False
F;True;False;False;43;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;3838.75;False
F;False;False;False;15;True;FIBER OPTIC;True;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;1426.4;True
F;True;True;False;25;True;DSL;True;True;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;1752.65;False
F;True;True;False;8;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;633.3;True
F;True;True;True;60;True;DSL;True;True;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4456.35;False
M;True;False;False;18;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1752.55;True
F;False;True;True;63;True;FIBER OPTIC;True;False;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6311.2;False
M;True;True;True;66;True;FIBER OPTIC;False;True;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;7076.35;False
F;False;True;True;34;True;NO;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;894.3;False
F;False;False;False;72;True;FIBER OPTIC;False;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;7853.7;False
F;False;True;False;47;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;4707.1;False
M;False;False;False;60;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;5450.7;False
M;False;True;False;72;False;DSL;True;False;False;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;2962.0;False
F;False;True;True;18;True;DSL;False;True;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;957.1;False
F;False;False;False;9;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;857.25;True
F;False;False;False;3;True;DSL;False;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;244.1;False
M;False;True;False;47;True;FIBER OPTIC;False;False;False;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;3650.35;False
F;False;False;False;31;True;DSL;False;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;2497.2;False
F;False;True;True;50;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;930.9;False
M;False;False;False;10;True;FIBER OPTIC;True;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;887.35;False
M;False;False;False;1;True;DSL;False;True;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;49.05;False
F;False;True;True;52;True;NO;True;True;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;1090.65;False
M;True;True;True;64;True;FIBER OPTIC;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;7099.0;False
M;False;True;True;62;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1424.6;False
F;False;False;True;3;True;DSL;True;True;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;177.4;False
F;True;False;False;56;True;FIBER OPTIC;True;False;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;6139.5;False
F;False;False;False;46;True;DSL;False;False;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;2688.85;False
F;False;True;True;8;True;DSL;True;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;482.25;False
M;True;False;False;30;True;DSL;True;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;2111.3;False
F;False;True;True;45;True;NO;True;True;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1216.6;False
F;False;False;True;1;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;79.35;True
F;False;True;True;11;False;DSL;True;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;565.35;False
F;False;True;False;7;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;496.9;True
F;False;False;False;42;True;FIBER OPTIC;False;True;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;4327.5;False
F;False;True;False;49;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;973.35;False
M;False;False;False;9;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;918.75;False
F;False;True;False;35;True;DSL;True;False;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;2215.45;False
F;False;True;True;48;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1057.0;False
F;False;True;True;46;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;927.1;False
M;False;True;False;29;False;DSL;False;False;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;1009.25;False
M;False;True;True;30;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;2570.2;False
M;True;False;False;1;True;FIBER OPTIC;False;True;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;74.7;False
M;False;True;True;66;True;DSL;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;5714.25;False
F;False;False;False;65;True;FIBER OPTIC;True;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;7107.0;False
M;False;False;False;72;True;FIBER OPTIC;False;False;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;7459.05;False
F;False;False;False;12;True;FIBER OPTIC;True;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;927.35;True
M;False;True;True;71;True;DSL;True;True;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4748.7;False
M;False;False;False;5;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;113.85;True
M;False;False;False;52;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1107.2;False
F;True;True;False;25;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;2514.5;True
M;False;False;False;1;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;20.2;False
F;False;True;True;1;True;NO;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;19.45;False
M;False;False;False;38;True;FIBER OPTIC;False;True;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3605.6;False
F;True;True;False;66;False;DSL;False;False;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3027.25;False
M;False;True;False;68;True;FIBER OPTIC;False;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;7611.85;True
M;False;False;False;5;False;DSL;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;100.2;False
F;False;True;True;72;True;FIBER OPTIC;True;False;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;7303.05;False
F;False;False;False;32;False;DSL;True;False;False;ONE YEAR;MAILED CHECK;65.60756321839081;927.65;False
M;False;False;False;43;True;FIBER OPTIC;False;False;True;ONE YEAR;MAILED CHECK;65.60756321839081;3921.3;False
M;False;True;True;72;True;NO;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1363.25;False
M;False;True;False;55;True;FIBER OPTIC;True;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;5238.9;True
F;False;False;False;52;True;DSL;True;True;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;3042.25;False
F;False;False;False;43;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;3954.1;False
F;True;True;False;37;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;2868.15;True
F;False;True;True;64;False;DSL;False;True;True;TWO YEAR;ELECTRONIC CHECK;65.60756321839081;3423.5;False
M;False;True;True;3;True;FIBER OPTIC;True;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;248.4;False
F;False;False;False;36;False;DSL;True;False;False;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1126.35;False
F;False;True;True;10;True;FIBER OPTIC;True;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1064.65;True
F;False;False;False;41;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;835.15;False
M;False;True;True;27;True;FIBER OPTIC;False;True;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;2151.6;False
F;False;True;True;56;True;FIBER OPTIC;False;False;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;5515.45;False
F;False;False;False;6;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;112.75;False
M;False;False;False;3;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;229.55;True
F;False;True;True;7;True;DSL;True;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;350.35;False
F;False;True;True;4;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;62.9;False
M;False;False;False;33;True;FIBER OPTIC;True;True;True;TWO YEAR;ELECTRONIC CHECK;65.60756321839081;3027.65;False
F;True;False;False;27;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;2135.5;True
M;False;True;False;72;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1723.95;False
M;False;False;False;1;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;19.75;False
M;True;False;False;71;False;DSL;True;False;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;3985.35;False
F;False;False;False;13;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1215.65;False
F;False;True;True;25;False;DSL;True;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;1502.65;True
M;False;False;False;67;True;DSL;False;True;False;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3260.1;False
M;False;False;False;1;False;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;35.45;True
M;False;False;False;2;True;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;81.25;True
F;False;False;False;43;True;NO;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1188.2;False
F;False;False;False;23;True;FIBER OPTIC;True;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1778.5;False
F;False;True;True;64;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;1277.75;False
M;False;False;True;57;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;1170.55;False
F;True;True;False;1;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;70.45;True
F;True;True;True;72;True;DSL;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6425.65;False
F;False;False;False;8;True;DSL;True;True;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;563.65;True
F;False;True;False;61;True;FIBER OPTIC;False;False;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;5971.25;False
M;False;False;False;64;True;FIBER OPTIC;True;False;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;5289.05;False
M;True;True;False;71;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1756.2;False
F;False;True;True;65;True;FIBER OPTIC;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6416.7;False
M;False;False;False;3;True;NO;True;True;True;ONE YEAR;MAILED CHECK;65.60756321839081;61.35;False
M;False;False;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;45.65;True
M;False;False;True;30;True;DSL;False;False;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1929.95;False
M;False;True;True;15;True;DSL;False;True;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;1071.4;False
F;False;True;True;8;True;DSL;False;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;564.35;False
M;False;False;False;7;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;655.5;True
F;False;True;True;70;True;FIBER OPTIC;True;False;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;7930.55;False
M;False;True;True;62;True;DSL;True;True;True;TWO YEAR;ELECTRONIC CHECK;65.60756321839081;5215.25;False
F;False;True;True;6;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;113.5;False
F;False;True;True;14;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1152.8;False
F;False;False;False;22;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1821.95;False
M;False;True;True;22;True;NO;True;True;True;ONE YEAR;MAILED CHECK;65.60756321839081;419.9;False
M;False;True;True;16;True;DSL;True;False;True;TWO YEAR;MAILED CHECK;65.60756321839081;1024.0;False
M;False;False;False;10;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;251.6;False
F;False;False;True;13;True;DSL;True;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;764.55;False
F;False;True;False;20;True;FIBER OPTIC;True;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1592.35;True
F;False;False;False;2;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;135.2;False
M;False;False;False;53;True;DSL;False;True;False;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3958.25;False
F;False;True;True;11;True;NO;True;True;True;ONE YEAR;MAILED CHECK;65.60756321839081;233.9;False
M;False;True;False;69;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;1363.45;False
F;False;False;False;4;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;273.0;True
M;False;True;False;72;True;DSL;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;6254.45;False
M;True;True;False;58;True;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;2651.2;True
F;False;True;True;16;True;NO;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;321.4;False
M;False;True;False;43;True;FIBER OPTIC;True;True;False;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3539.25;False
F;False;True;False;2;True;FIBER OPTIC;False;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;242.8;True
M;False;True;False;14;True;DSL;False;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;1181.75;False
F;False;True;False;53;True;FIBER OPTIC;False;False;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;5000.2;True
F;False;False;False;32;True;NO;True;True;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;654.55;False
F;False;True;False;34;True;NO;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;780.2;False
F;True;False;False;15;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;1145.7;True
F;True;False;False;7;True;FIBER OPTIC;True;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;503.6;True
F;False;True;True;15;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1559.25;False
M;False;True;False;61;True;NO;True;True;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1252.0;False
F;False;False;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;29.95;True
F;False;False;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;45.3;False
M;False;False;False;8;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;662.65;True
M;False;True;True;33;True;DSL;True;False;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;2453.3;False
F;False;False;False;13;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1111.65;True
F;False;True;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;24.8;True
M;False;False;False;20;True;DSL;False;False;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;1023.85;False
M;False;False;False;3;True;DSL;False;True;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;82.15;False
F;False;False;False;13;True;NO;True;True;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;244.8;False
F;False;True;False;40;True;DSL;False;False;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;2379.1;False
M;False;True;True;43;True;DSL;True;True;False;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;3173.35;False
M;False;True;False;6;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;531.0;True
F;False;True;True;69;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1375.4;False
F;False;True;True;72;True;FIBER OPTIC;True;False;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;8129.3;False
M;False;True;True;59;True;NO;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;1192.7;False
F;False;True;False;20;True;FIBER OPTIC;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1901.65;False
M;False;True;True;24;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;587.4;False
M;False;False;False;59;True;FIBER OPTIC;False;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;6519.75;False
M;False;True;True;72;True;FIBER OPTIC;False;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;8041.65;False
M;False;False;True;1;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;20.75;False
F;False;True;False;27;True;FIBER OPTIC;True;True;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;2681.15;False
F;False;False;False;14;True;FIBER OPTIC;False;True;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;1112.3;False
M;False;True;True;71;True;FIBER OPTIC;True;False;True;TWO YEAR;ELECTRONIC CHECK;65.60756321839081;7405.5;False
M;False;False;True;13;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;1033.95;False
M;False;False;False;44;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;2958.95;False
F;False;False;False;33;True;FIBER OPTIC;False;True;False;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;2684.85;False
M;False;True;True;72;True;DSL;True;True;False;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;4179.2;False
M;False;False;False;1;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;79.9;True
F;False;False;False;19;True;FIBER OPTIC;True;True;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1934.45;True
M;False;True;False;64;True;FIBER OPTIC;False;True;True;ONE YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6654.1;False
M;False;False;False;2;True;DSL;False;False;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;84.5;True
F;False;False;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;25.25;False
M;False;False;True;61;True;NO;True;True;True;TWO YEAR;MAILED CHECK;65.60756321839081;1124.2;False
F;False;True;True;29;True;NO;True;True;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;540.05;False
M;True;True;False;23;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1975.85;False
F;False;True;False;57;True;DSL;True;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;3437.45;False
M;False;True;True;72;True;DSL;True;True;False;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;3139.8;False
M;False;True;False;66;True;DSL;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;3789.2;False
M;False;True;True;65;True;DSL;False;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;5324.5;False
F;False;False;False;8;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;624.6;False
F;False;False;False;4;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;268.35;True
F;False;True;False;71;True;NO;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1836.9;False
M;False;True;True;1;True;NO;True;True;True;ONE YEAR;ELECTRONIC CHECK;65.60756321839081;20.2;False
M;False;True;False;4;True;DSL;False;True;False;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;179.35;True
F;False;False;False;12;True;NO;True;True;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;219.35;False
M;False;False;False;24;True;DSL;True;False;True;ONE YEAR;MAILED CHECK;65.60756321839081;1288.75;False
